date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:25	49/49	---M--	200	added ('OK')	image/gif	etag:%22c1c437e-31-514a9dd09f880%22	http://sbktcsociety.com/wp-content/plugins/LayerSlider/css/blank.gif	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/LayerSlider/css/blank.gif	(from http://sbktcsociety.com/wp-content/plugins/LayerSlider/css/layerslider2cb6.css)
17:31:27	12136/12136	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22c1c43a2-2f68-514a9e89a2d00%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c6.eot?5510888	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c690c6.eot	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
17:31:28	45594/45594	---M--	200	added ('OK')	application/javascript	etag:%22c1c442b-b21a-514a9e44f8b00%22	http://sbktcsociety.com/wp-content/themes/website/js/jquery.script8a54.js	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/themes/website/js/jquery.script8a54.js	(from http://sbktcsociety.com/board-of-management.php)
17:31:29	11930/11930	---M-Z	200	added ('OK')	text/html	etag:%22c1c43a3-2e9a-514a9e89a2d00-gzip%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c6.html?5510888	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c690c6.html	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
17:31:29	7536/7536	---M--	200	added ('OK')	font/woff	etag:%22c1c43a5-1d70-514a9e8d73600%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c6.woff?5510888	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c690c6.woff	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
17:31:29	13532/13532	---M--	200	added ('OK')	image/svg+xml	etag:%22c1c43a4-34dc-514a9e8d73600%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c6.svg?5510888	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/font/revicons90c690c6.svg	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
17:31:30	933/933	---M--	200	added ('OK')	image/png	etag:%22c1c4391-3a5-514a9e70d7280%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile.png	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile.png	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
17:31:30	931/931	---M--	200	added ('OK')	image/png	etag:%22c1c4394-3a3-514a9e72bf700%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile_white.png	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile_white.png	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
17:31:31	938/938	---M--	200	added ('OK')	image/png	etag:%22c1c4392-3aa-514a9e70d7280%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile_3x3.png	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile_3x3.png	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
17:31:31	935/935	---M--	200	added ('OK')	image/png	etag:%22c1c4393-3a7-514a9e72bf700%22	http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile_3x3_white.png	C:/Users/HP/Desktop/company_project/sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/assets/gridtile_3x3_white.png	(from http://sbktcsociety.com/wp-content/plugins/revslider/rs-plugin/css/settings84bb.css)
